* 4 anchors
* Two people around
* 3 back and forth
Tracker_Raw: 36793036149F 2.173 2.452 1.5 2024-05-17T20:47:22.186943Z
Tracker_Raw: 36793036149F 2.316 2.471 1.5 2024-05-17T20:47:22.468048Z
Tracker_Raw: 36793036149F 2.439 2.411 1.5 2024-05-17T20:47:22.712987Z
Tracker_Raw: 36793036149F 2.53 2.103 1.5 2024-05-17T20:47:22.954074Z
Tracker_Raw: 36793036149F 2.427 2.05 1.5 2024-05-17T20:47:23.201802Z
Tracker_Raw: 36793036149F 2.709 2.003 1.5 2024-05-17T20:47:23.446854Z
Tracker_Raw: 36793036149F 2.812 1.949 1.5 2024-05-17T20:47:23.737513Z
Tracker_Raw: 36793036149F 2.958 1.807 1.5 2024-05-17T20:47:23.980751Z
Tracker_Raw: 36793036149F 3.183 1.753 1.5 2024-05-17T20:47:24.231869Z
Tracker_Raw: 36793036149F 3.304 1.502 1.5 2024-05-17T20:47:24.481736Z
Tracker_Raw: 36793036149F 3.43 1.42 1.5 2024-05-17T20:47:24.722445Z
Tracker_Raw: 36793036149F 3.519 1.252 1.5 2024-05-17T20:47:25.005300Z
Tracker_Raw: 36793036149F 3.649 1.05 1.5 2024-05-17T20:47:25.254946Z
Tracker_Raw: 36793036149F 3.869 1.029 1.5 2024-05-17T20:47:25.496719Z
Tracker_Raw: 36793036149F 3.992 0.973 1.5 2024-05-17T20:47:25.746791Z
Tracker_Raw: 36793036149F 4.146 0.726 1.5 2024-05-17T20:47:25.984938Z
Tracker_Raw: 36793036149F 4.26 0.545 1.5 2024-05-17T20:47:26.273116Z
Tracker_Raw: 36793036149F 4.406 0.438 1.5 2024-05-17T20:47:26.514459Z
Tracker_Raw: 36793036149F 4.503 0.492 1.5 2024-05-17T20:47:26.758388Z
Tracker_Raw: 36793036149F 4.593 0.268 1.5 2024-05-17T20:47:26.999607Z
Tracker_Raw: 36793036149F 4.668 0.136 1.5 2024-05-17T20:47:27.251420Z
Tracker_Raw: 36793036149F 4.716 0.135 1.5 2024-05-17T20:47:27.538068Z
Tracker_Raw: 36793036149F 4.883 0.011 1.5 2024-05-17T20:47:27.779680Z
Tracker_Raw: 36793036149F 4.916 0.042 1.5 2024-05-17T20:47:28.027528Z
Tracker_Raw: 36793036149F 4.963 -0.041 1.5 2024-05-17T20:47:28.278939Z
Tracker_Raw: 36793036149F 4.998 -0.017 1.5 2024-05-17T20:47:28.525220Z
Tracker_Raw: 36793036149F 5.054 -0.088 1.5 2024-05-17T20:47:28.815002Z
Tracker_Raw: 36793036149F 5.008 -0.082 1.5 2024-05-17T20:47:29.057863Z
Tracker_Raw: 36793036149F 4.887 -0.172 1.5 2024-05-17T20:47:29.311487Z
Tracker_Raw: 36793036149F 4.934 -0.183 1.5 2024-05-17T20:47:29.556156Z
Tracker_Raw: 36793036149F 5.03 -0.182 1.5 2024-05-17T20:47:29.808109Z
Tracker_Raw: 36793036149F 4.951 -0.397 1.5 2024-05-17T20:47:30.092197Z
Tracker_Raw: 36793036149F 4.844 -0.52 1.5 2024-05-17T20:47:30.339549Z
Tracker_Raw: 36793036149F 4.807 -0.318 1.5 2024-05-17T20:47:30.590659Z
Tracker_Raw: 36793036149F 4.719 -0.167 1.5 2024-05-17T20:47:30.838532Z
Tracker_Raw: 36793036149F 4.628 0.041 1.5 2024-05-17T20:47:31.081024Z
Tracker_Raw: 36793036149F 4.516 0.267 1.5 2024-05-17T20:47:31.368393Z
Tracker_Raw: 36793036149F 4.367 0.453 1.5 2024-05-17T20:47:31.616266Z
Tracker_Raw: 36793036149F 4.22 0.636 1.5 2024-05-17T20:47:31.865781Z
Tracker_Raw: 36793036149F 4.111 0.793 1.5 2024-05-17T20:47:32.133524Z
Tracker_Raw: 36793036149F 3.914 0.762 1.5 2024-05-17T20:47:32.375265Z
Tracker_Raw: 36793036149F 3.734 0.761 1.5 2024-05-17T20:47:32.659842Z
Tracker_Raw: 36793036149F 3.612 0.936 1.5 2024-05-17T20:47:32.904835Z
Tracker_Raw: 36793036149F 3.47 1.082 1.5 2024-05-17T20:47:33.143645Z
Tracker_Raw: 36793036149F 3.344 1.287 1.5 2024-05-17T20:47:33.381227Z
Tracker_Raw: 36793036149F 3.144 1.493 1.5 2024-05-17T20:47:33.628910Z
Tracker_Raw: 36793036149F 3.054 1.643 1.5 2024-05-17T20:47:33.915431Z
Tracker_Raw: 36793036149F 2.837 1.568 1.5 2024-05-17T20:47:34.163252Z
Tracker_Raw: 36793036149F 2.68 1.821 1.5 2024-05-17T20:47:34.409511Z
Tracker_Raw: 36793036149F 2.482 2.025 1.5 2024-05-17T20:47:34.651191Z
Tracker_Raw: 36793036149F 2.283 2.191 1.5 2024-05-17T20:47:34.900711Z
Tracker_Raw: 36793036149F 2.141 2.31 1.5 2024-05-17T20:47:35.187008Z
Tracker_Raw: 36793036149F 1.998 2.452 1.5 2024-05-17T20:47:35.426651Z
Tracker_Raw: 36793036149F 1.82 2.567 1.5 2024-05-17T20:47:35.675110Z
Tracker_Raw: 36793036149F 1.576 2.646 1.5 2024-05-17T20:47:35.920809Z
Tracker_Raw: 36793036149F 1.375 2.739 1.5 2024-05-17T20:47:36.164772Z
Tracker_Raw: 36793036149F 1.267 2.808 1.5 2024-05-17T20:47:36.453632Z
Tracker_Raw: 36793036149F 1.143 2.882 1.5 2024-05-17T20:47:36.694614Z
Tracker_Raw: 36793036149F 1.052 2.966 1.5 2024-05-17T20:47:36.943491Z
Tracker_Raw: 36793036149F 1.001 2.843 1.5 2024-05-17T20:47:37.194129Z
Tracker_Raw: 36793036149F 1.058 2.804 1.5 2024-05-17T20:47:37.440724Z
Tracker_Raw: 36793036149F 0.916 3.034 1.5 2024-05-17T20:47:37.730335Z
Tracker_Raw: 36793036149F 0.995 3.29 1.5 2024-05-17T20:47:37.973583Z
Tracker_Raw: 36793036149F 0.934 3.379 1.5 2024-05-17T20:47:38.219862Z
Tracker_Raw: 36793036149F 0.85 3.421 1.5 2024-05-17T20:47:38.462367Z
Tracker_Raw: 36793036149F 0.687 3.45 1.5 2024-05-17T20:47:38.705784Z
Tracker_Raw: 36793036149F 0.25 3.526 1.5 2024-05-17T20:47:38.994914Z
Tracker_Raw: 36793036149F 0.604 3.495 1.5 2024-05-17T20:47:39.238281Z
Tracker_Raw: 36793036149F 0.952 3.587 1.5 2024-05-17T20:47:39.485175Z
Tracker_Raw: 36793036149F 1.115 3.405 1.5 2024-05-17T20:47:39.731418Z
Tracker_Raw: 36793036149F 1.279 3.254 1.5 2024-05-17T20:47:39.986182Z
Tracker_Raw: 36793036149F 1.542 3.016 1.5 2024-05-17T20:47:40.274060Z
Tracker_Raw: 36793036149F 1.738 2.895 1.5 2024-05-17T20:47:40.524315Z
Tracker_Raw: 36793036149F 1.878 2.938 1.5 2024-05-17T20:47:40.773519Z
Tracker_Raw: 36793036149F 1.987 2.871 1.5 2024-05-17T20:47:41.026068Z
Tracker_Raw: 36793036149F 2.108 2.674 1.5 2024-05-17T20:47:41.273690Z
Tracker_Raw: 36793036149F 2.224 2.583 1.5 2024-05-17T20:47:41.561985Z
Tracker_Raw: 36793036149F 2.367 2.486 1.5 2024-05-17T20:47:41.803568Z
Tracker_Raw: 36793036149F 2.518 2.378 1.5 2024-05-17T20:47:42.059304Z
Tracker_Raw: 36793036149F 2.697 2.284 1.5 2024-05-17T20:47:42.305403Z
Tracker_Raw: 36793036149F 2.881 2.193 1.5 2024-05-17T20:47:42.546710Z
Tracker_Raw: 36793036149F 3.04 2.087 1.5 2024-05-17T20:47:42.839840Z
Tracker_Raw: 36793036149F 3.195 1.97 1.5 2024-05-17T20:47:43.082385Z
Tracker_Raw: 36793036149F 3.372 1.807 1.5 2024-05-17T20:47:43.327719Z
Tracker_Raw: 36793036149F 3.524 1.668 1.5 2024-05-17T20:47:43.574063Z
Tracker_Raw: 36793036149F 3.655 1.376 1.5 2024-05-17T20:47:43.823390Z
Tracker_Raw: 36793036149F 3.709 1.266 1.5 2024-05-17T20:47:44.104502Z
Tracker_Raw: 36793036149F 3.854 1.109 1.5 2024-05-17T20:47:44.355816Z
Tracker_Raw: 36793036149F 4.005 0.941 1.5 2024-05-17T20:47:44.596221Z
Tracker_Raw: 36793036149F 4.163 0.932 1.5 2024-05-17T20:47:44.839020Z
Tracker_Raw: 36793036149F 4.301 0.806 1.5 2024-05-17T20:47:45.080418Z
Tracker_Raw: 36793036149F 4.559 0.619 1.5 2024-05-17T20:47:45.362503Z
Tracker_Raw: 36793036149F 4.6 0.407 1.5 2024-05-17T20:47:45.607260Z
